"","TeamName","Season","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM","seed","BY.YEAR.NO","BY.ROUND.NO","TEAM.NO","SEED","ROUND","CURRENT.ROUND","SCORE","Win","Upset"
"85","Kentucky",2008,65.9148,203,61.9035,276,102.867,153,106.849,120,97.6336,72,97.1469,63,9.70175,83,"11",85,953,40,11,64,64,66,FALSE,0
"86","Marquette",2008,69.0403,98,66.3008,107,109.304,45,113.463,34,92.9481,19,91.6188,14,21.8442,16,"6",86,954,38,6,32,64,74,TRUE,0
"87","Oral Roberts",2008,64.9392,256,62.6931,248,105.196,110,104.822,147,94.2186,27,93.6893,27,11.1323,73,"13",87,955,28,13,64,64,63,FALSE,0
"88","Pittsburgh",2008,65.6434,220,63.1376,221,111.22,24,116.407,13,99.201,97,96.8952,57,19.5116,23,"4",88,956,26,4,32,64,82,TRUE,0
"89","Temple",2008,65.5934,224,62.9596,230,108.934,49,112.696,42,102.736,193,100.26,105,12.4365,60,"12",89,957,17,12,64,64,61,FALSE,0
"90","Michigan St.",2008,64.1595,278,62.7366,243,110.648,32,115.444,18,96.6843,55,94.5625,35,20.8814,17,"5",90,958,35,5,16,64,72,TRUE,0
"91","Oregon",2008,67.3069,163,64.9184,151,112.417,20,119.29,5,106.866,289,102.634,155,16.6554,32,"9",91,959,27,9,64,64,69,FALSE,0
"92","Mississippi St.",2008,69.0038,99,65.8268,122,104.708,123,107.347,110,93.5734,24,91.5296,12,15.8174,35,"8",92,960,34,8,32,64,76,TRUE,0
"93","UT Arlington",2008,71.2605,44,68.0296,51,100.733,188,101.14,201,97.5142,70,103.138,164,-1.99751,179,"16",93,961,9,16,64,64,63,FALSE,0
"94","Memphis",2008,70.5062,59,67.7113,63,112.778,18,114.695,25,85.6765,1,85.3169,1,29.3779,3,"1",94,962,37,1,2,64,87,TRUE,0
"95","UMBC",2008,64.9933,254,63.0741,227,113.879,9,113.762,31,105.618,267,109.662,286,4.10027,127,"15",95,963,12,15,64,64,47,FALSE,0
"96","Georgetown",2008,62.1911,312,59.8577,316,111.212,25,114.989,23,92.6521,17,90.0051,8,24.9836,7,"2",96,964,47,2,32,64,66,TRUE,0
"97","Davidson",2008,68.3431,122,66.0806,111,113.318,12,114.056,30,92.4581,15,93.5027,25,20.5532,18,"10",97,965,51,10,8,64,82,TRUE,1
"98","Gonzaga",2008,67.9492,142,65.1856,143,110.743,31,114.221,28,91.8664,10,94.8911,39,19.3301,25,"7",98,966,45,7,64,64,76,FALSE,0
"99","Cal St. Fullerton",2008,72.5643,19,70.926,13,113.516,11,112.978,40,100.332,125,104.103,183,8.87459,87,"14",99,967,56,14,64,64,56,FALSE,0
"100","Wisconsin",2008,62.192,311,60.8809,300,108.495,56,113.619,32,86.5633,2,86.2081,2,27.4107,6,"3",100,968,2,3,16,64,71,TRUE,0
"101","Kansas St.",2008,72.2437,26,69.2125,29,108.293,58,113.383,35,95.0426,37,94.4917,33,18.8909,29,"11",101,969,42,11,32,64,80,TRUE,1
"102","USC",2008,65.7446,214,64.6004,160,103.965,132,110.663,57,95.0369,36,90.6973,10,19.9654,21,"6",102,970,10,6,64,64,67,FALSE,0
"103","Siena",2008,69.7255,80,66.6906,95,108.872,50,108.144,91,100.328,124,101.391,125,6.75339,99,"13",103,971,20,13,32,64,83,TRUE,1
"104","Vanderbilt",2008,71.3818,41,67.6816,65,110.172,37,112.598,43,101.634,161,99.0821,83,13.5159,51,"4",104,972,8,4,64,64,62,FALSE,0
"105","Villanova",2008,69.3156,91,67.2121,82,105.009,114,108.903,81,100.144,119,95.9216,45,12.9811,55,"12",105,973,7,12,16,64,75,TRUE,1
"106","Clemson",2008,70.8942,52,67.3837,76,109.876,42,114.102,29,95.4441,42,91.7372,15,22.3653,12,"5",106,974,55,5,64,64,69,FALSE,0
"107","Kent St.",2008,65.1295,244,64.1316,181,106.008,92,108.462,87,94.0743,26,94.6345,36,13.8274,47,"9",107,975,41,9,64,64,58,FALSE,0
"108","UNLV",2008,65.4844,226,63.0988,224,105.643,102,110.183,67,94.9099,35,96.5636,53,13.6193,50,"8",108,976,11,8,32,64,71,TRUE,0
"109","Portland St.",2008,67.264,166,65.7791,124,108.842,51,108.411,88,100.58,131,102.574,153,5.83665,108,"16",109,977,25,16,64,64,61,FALSE,0
"110","Kansas",2008,68.8789,106,66.8546,88,117.53,1,121.433,1,89.3201,4,87.4681,3,33.9647,1,"1",110,978,43,1,1,64,85,TRUE,0
"111","American",2008,60.932,325,59.5974,322,106.919,77,108.308,89,101.529,154,106.622,227,1.686,149,"15",111,979,65,15,64,64,57,FALSE,0
"112","Tennessee",2008,72.725,16,69.5841,21,113.093,13,117.787,7,97.7163,74,95.4494,43,22.3372,15,"2",112,980,16,2,16,64,72,TRUE,0
"113","South Alabama",2008,66.6896,184,64.0943,186,113.078,14,112.779,41,97.4684,69,100.155,100,12.6239,56,"10",113,981,19,10,64,64,61,FALSE,0
"114","Butler",2008,59.9474,332,58.5955,329,112.905,16,116.138,16,95.2259,40,96.8401,56,19.2975,26,"7",114,982,58,7,32,64,81,TRUE,0
"115","Boise St.",2008,72.361,23,70.2142,16,109.984,40,108.605,86,102.734,191,104.484,189,4.12039,126,"14",115,983,59,14,64,64,61,FALSE,0
"116","Louisville",2008,66.9599,174,64.6887,158,106.523,85,111.828,48,90.9933,7,88.6299,5,23.198,11,"3",116,984,39,3,8,64,79,TRUE,0
"117","Saint Joseph's",2008,65.1796,242,63.5629,204,112.039,21,114.718,24,102.256,181,100.152,99,14.5658,43,"11",117,985,23,11,64,64,64,FALSE,0
"118","Oklahoma",2008,65.0528,251,62.5674,254,103.673,138,109.474,74,96.7102,56,94.3986,32,15.0751,40,"6",118,986,29,6,32,64,72,TRUE,0
"119","Winthrop",2008,63.7666,291,60.9746,296,101.646,170,99.6932,230,92.1731,14,92.3864,17,7.30673,96,"13",119,987,3,13,64,64,40,FALSE,0
"120","Washington St.",2008,59.3335,335,57.7887,334,111.872,22,116.272,15,94.7272,32,92.3676,16,23.9044,10,"4",120,988,6,4,16,64,71,TRUE,0
"121","George Mason",2008,62.942,300,60.9624,298,109.991,39,111.486,50,97.9918,77,101.207,122,10.2781,77,"12",121,989,48,12,64,64,50,FALSE,0
