victor,season,victor_avg_score,victor_avg_assists,victor_avg_blocks,victor_avg_dreb,victor_avg_fgp,victor_avg_oreb,victor_avg_steals,victor_avg_fta,victor_avg_3fgp,victor_avg_to,victor_avg_opp_score,round,region_number,region_name,seed_t1,score_t1,name_t1,name_t2,score_t2,seed_t2,loser,upset,victor_seed,loser_seed,loser_avg_score,loser_avg_assists,loser_avg_blocks,loser_avg_dreb,loser_avg_fgp,loser_avg_oreb,loser_avg_steals,loser_avg_fta,loser_avg_3fgp,loser_avg_to,loser_avg_opp_score,season_avg_score,season_avg_assists,season_avg_blocks,season_avg_dreb,season_avg_fgp,season_avg_oreb,season_avg_steals,season_avg_fta,season_avg_3fgp,season_avg_to,season_avg_opp_score
California,2013,67.21212121212122,14.181818181818182,4.666666666666667,26.272727272727273,44.803030303030305,10.93939393939394,5.818181818181818,17.727272727272727,29.30909090909091,12.636363636363637,64.33333333333333,1,4,East,5,61,UNLV,California,64,12,UNLV,1,12,5,71.37142857142857,16.057142857142857,5.8,28.228571428571428,43.645714285714284,11.942857142857143,7.228571428571429,21.34285714285714,33.89142857142857,13.914285714285715,63.02857142857143,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
Harvard,2013,68.3,13.1,4.2,22.1,47.78333333333333,7.3,7.266666666666667,23.233333333333334,39.20333333333333,13.3,64.13333333333334,1,2,West,3,62,New Mexico,Harvard,68,14,New Mexico,1,14,3,67.28571428571429,14.428571428571429,3.8285714285714287,25.62857142857143,42.21142857142857,9.571428571428571,6.285714285714286,23.685714285714287,34.222857142857144,11.485714285714286,60.628571428571426,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
Kentucky,2014,74.8,11.15,5.9,25.85,45.46,14.35,4.725,28.65,34.305,12.025,66.625,2,4,Midwest,1,76,Wichita St,Kentucky,78,8,Wichita St,1,8,1,75.16666666666667,13.63888888888889,5.111111111111111,26.75,46.391666666666666,11.61111111111111,6.861111111111111,25.444444444444443,35.13611111111111,10.38888888888889,59.47222222222222,71.5742185075562,12.912408541258017,3.8400178756267724,24.16500174169831,44.83556255101542,10.946347369689155,6.109565145280772,22.768779200212517,34.77241694760595,11.963485889893443,68.59970890300073
Kentucky,2014,74.8,11.15,5.9,25.85,45.46,14.35,4.725,28.65,34.305,12.025,66.625,3,4,Midwest,8,74,Kentucky,Louisville,69,4,Louisville,1,8,4,81.02702702702703,15.35135135135135,4.675675675675675,24.135135135135137,47.086486486486486,13.594594594594595,10,24.864864864864863,35.2972972972973,10.567567567567568,61.13513513513514,71.5742185075562,12.912408541258017,3.8400178756267724,24.16500174169831,44.83556255101542,10.946347369689155,6.109565145280772,22.768779200212517,34.77241694760595,11.963485889893443,68.59970890300073
Kentucky,2014,74.8,11.15,5.9,25.85,45.46,14.35,4.725,28.65,34.305,12.025,66.625,4,4,Midwest,8,75,Kentucky,Michigan,72,2,Michigan,1,8,2,73.94594594594595,14.18918918918919,2.3783783783783785,22.45945945945946,47.83513513513513,8.891891891891891,5.162162162162162,18.675675675675677,40.09189189189189,9.324324324324325,65.08108108108108,71.5742185075562,12.912408541258017,3.8400178756267724,24.16500174169831,44.83556255101542,10.946347369689155,6.109565145280772,22.768779200212517,34.77241694760595,11.963485889893443,68.59970890300073
Kentucky,2014,74.8,11.15,5.9,25.85,45.46,14.35,4.725,28.65,34.305,12.025,66.625,5,2,Final Four,2,73,Wisconsin,Kentucky,74,8,Wisconsin,1,8,2,73.5,12.31578947368421,3.3421052631578947,24.44736842105263,45.91315789473684,8.868421052631579,4.815789473684211,22.657894736842106,37.78421052631579,8.078947368421053,64,71.5742185075562,12.912408541258017,3.8400178756267724,24.16500174169831,44.83556255101542,10.946347369689155,6.109565145280772,22.768779200212517,34.77241694760595,11.963485889893443,68.59970890300073
Wisconsin,2014,73.5,12.31578947368421,3.3421052631578947,24.44736842105263,45.91315789473684,8.868421052631579,4.815789473684211,22.657894736842106,37.78421052631579,8.078947368421053,64,4,3,West,1,63,Arizona,Wisconsin,64,2,Arizona,1,2,1,72.86842105263158,15.105263157894736,4.552631578947368,25.894736842105264,47.03421052631579,12.236842105263158,5.868421052631579,22.894736842105264,35.70789473684211,10.18421052631579,58.55263157894737,71.5742185075562,12.912408541258017,3.8400178756267724,24.16500174169831,44.83556255101542,10.946347369689155,6.109565145280772,22.768779200212517,34.77241694760595,11.963485889893443,68.59970890300073
Michigan St,2014,75.52631578947368,16.763157894736842,4.578947368421052,26.07894736842105,47.32368421052632,10.763157894736842,6.815789473684211,19.157894736842106,38.35526315789474,11.578947368421053,65.55263157894737,3,2,East,1,59,Virginia,Michigan St,61,4,Virginia,1,4,1,66.1891891891892,13.08108108108108,4.054054054054054,24.89189189189189,45.535135135135135,10.567567567567568,5.216216216216216,21.405405405405407,36.972972972972975,10,55.67567567567568,71.5742185075562,12.912408541258017,3.8400178756267724,24.16500174169831,44.83556255101542,10.946347369689155,6.109565145280772,22.768779200212517,34.77241694760595,11.963485889893443,68.59970890300073
Dayton,2014,72.1891891891892,13.108108108108109,2.5945945945945947,23.7027027027027,46.47027027027027,11.18918918918919,6,22.135135135135137,38.05945945945946,11.945945945945946,66.97297297297297,2,1,South,3,53,Syracuse,Dayton,55,11,Syracuse,1,11,3,67.97058823529412,11.823529411764707,5.029411764705882,22.176470588235293,43.96764705882353,13.117647058823529,7.970588235294118,21.029411764705884,33.37352941176471,9,59.1764705882353,71.5742185075562,12.912408541258017,3.8400178756267724,24.16500174169831,44.83556255101542,10.946347369689155,6.109565145280772,22.768779200212517,34.77241694760595,11.963485889893443,68.59970890300073
Dayton,2014,72.1891891891892,13.108108108108109,2.5945945945945947,23.7027027027027,46.47027027027027,11.18918918918919,6,22.135135135135137,38.05945945945946,11.945945945945946,66.97297297297297,3,1,South,10,72,Stanford,Dayton,82,11,Stanford,1,11,10,72.66666666666667,11.527777777777779,4.277777777777778,25.27777777777778,46.333333333333336,9.63888888888889,5.305555555555555,24.36111111111111,36.21111111111111,11.416666666666666,68.25,71.5742185075562,12.912408541258017,3.8400178756267724,24.16500174169831,44.83556255101542,10.946347369689155,6.109565145280772,22.768779200212517,34.77241694760595,11.963485889893443,68.59970890300073
